Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Peuples qui marchez	Peuples qui marchez		R/ Peuples qui marchez dans la longue nuit, Le jour va bientôt se lever. Peuples qui cherchez le chemin de vie Dieu lui-même vient vous sauver, Peuples qui cherchez le chemin de vie Dieu lui-même vient vous sauver.	1. Il est temps de lever les yeux, Vers le monde qui vient. Il est temps de jeter la fleur, Qui se fane en vos mains.	2. Il est temps de tuer la peur, Qui vous garde en ses liens. Il est temps de porter la Croix, Jusqu'au bout du chemin.	3. Il est temps de bâtir la paix, Dans ce monde qui meurt. Il est temps de laisser l´amour Libérer votre cœur.	4. Il est temps de laisser les morts S´occuper de leurs morts. Il est temps de laisser le feu Ranimer votre cœur.		
Porter la lumière	Porter la lumière		R/ PORTER LA LUMIÈRE C’EST UNE PRIÈRE, C’EST LAISSER FAIRE LE PREMIER PAS DE L’ESPÉRANCE AU CREUX DE SOI. PORTER LA LUMIÈRE C’EST UNE PRIÈRE, CETTE FOI QUI FAIT RECULER L’OBSCURITÉ.	3. Il n’est pas trop tard Pour choisir l’espoir De se laisser enlacer Par l’amour du Père. De laisser jaillir, D’aider à grandir Les semences de l’Esprit Qui nous donnent vie.			Couplets prière 1. Guérir notre coeur Des doutes et des peurs Qui détournent nos regards Du jour qui se lève. Se laisser gagner Par la vérité ; Dieu nous aide à inventer La fraternité.  2. Guérir nos esprits Des fleurs de la nuit, Du vent qui vient assécher La nouvelle sève. Se laisser greffer À l’arbre dressé, Recevoir la vie donnée Du ressuscité.  Couplets chanson 4. Ne pas laisser libre Le morceau de givre Viens embuer les carreaux Nos petites lunettes, Mais laisser reprendre Pour mieux réapprendre Le feu qu’on veut étouffer, La lueur cachée.  5. Ne pas laisser faire Les petits bouts de fer Alourdissent nos poignets Nos petites menottes Je sais que tu sais Qu’on est mesquin mais Malgré le petit de nous Veiller jusqu’au bout.		
Prenez et mangez	Prenez et mangez		R/ Prenez et mangez, Ceci est mon corps, Prenez et buvez, voici mon sang ! Ouvrez vos cœurs ! Vous ne serez plus jamais seuls : Je vous donne ma vie.	1. Demeurez en moi, comme je demeure en vous, Qui demeure en mon amour, celui-là portera du fruit. Comme Dieu, mon Père, ainsi je vous ai aimés. Gardez mes paroles, vous recevrez ma joie !	2. Je vous ai choisis pour que vous portiez du fruit. Gardez mon commandement et vous demeurerez en moi. Comme je vous aime, aimez-vous d’un seul Esprit, Je vous donne ma vie : vous êtes mes amis !	3. Je vous enverrai l’Esprit Saint, le Paraclet. Il vous conduira au Père et fera de vous des témoins. Cherchez, vous trouverez, demandez, vous obtiendrez, Afin que le Père soit glorifié en vous !			Prenez et mangez, ceci est mon corps
Préparez le chemin du Seigneur	Préparez le chemin du Seigneur		R/ Préparez le chemin du Seigneur, Ouvrez large la porte de vos coeurs : Il viendra le sauveur et tout homme verra Le salut de Dieu.	1. Ôte ta robe de tristesse, Plus de malheur, plus de détresse : C'est ton sauveur qui vient vers toi, Il te vêtira de sa joie !	2. Dis aux timides qui s'affolent : Ne craignez pas, prenez courage ! Dieu vient lui-même vous sauver, Il vous conduira vers sa joie !	3. Vois les collines qui s'abaissent, Vois les ravins qui s'aplanissent, Vois le chemin qui s'est ouvert, Foule innombrable des sauvés !	4. Sourds, ils entendent la Parole Et les aveugles voient la gloire ; Les pauvres mangent à leur faim ; Les boiteux bondissent de joie !  5. Dans le désert les eaux jaillissent, Les lieux arides refleurissent ; La terre est prête pour le grain, Les coteaux vous offrent le vin !		
Préparez, à travers le désert	Préparez, à travers le désert		R/ Préparez, à travers le désert, Les chemins du Seigneur. Écoutez, veillez, ouvrez vos cœurs, Car Il vient, le Sauveur.	1. Tracez, dans les terres arides, Une route aplanie pour mon Dieu. Les ravins seront relevés, Tous les monts et les collines abaissés.	2. Portez à mon peuple la joie, Consolez, consolez mes enfants ! Proclamez le salut de Dieu, Le rachat et le pardon des péchés.	3. Voici, le Seigneur vient à nous, Et sa gloire en ce monde paraît. Sa parole nous est donnée : Pour nos pas, elle est lumière à jamais.	4. Élève avec force ta voix ! Le voici, ton berger, ne crains pas ! Il rassemble tous ses enfants, Les conduit sur les chemins de la vie.		
"Psaume 001 ""Heureux est l’homme"" Magnificat & Bureau"	1		Heureux est l’homme qui met sa foi dans le Seigneur						
"Psaume 004-1 ""Sur nous, Seigneur"" Bureau"	4		Sur nous, Seigneur que s’illumine ton visage						
"Psaume 008-1 ""O Seigneur notre Dieu"" Bureau"	8		Ô Seigneur notre Dieu, qu’il est grand, ton nom, par toute la terre !						
"Psaume 008-1 ""O Seigneur notre Dieu"" Lécot"	8		Ô Seigneur notre Dieu, qu’il est grand, ton nom, par toute la terre !						
"Psaume 008-1 ""O Seigneur notre Dieu"" Magnificat"	8		Ô Seigneur notre Dieu, qu’il est grand, ton nom, par toute la terre !						
"Psaume 014-""0 Seigneur qui séjournera sous ta tente"" Gouzes"	14		Seigneur, qui séjournera sous ta tente ?						
"Psaume 015-1 ""Garde moi, mon Dieu"" Wackenheim"	15		Garde-moi, mon Dieu: j’ai fait de toi mon refuge						
"Psaume 015-2 ""Dieu mon bonheur"" Bureau"	15		Dieu, mon bonheur et ma joie !						
"Psaume 015-3 ""Tu m’apprends, Seigneur"" Wackenheim"	15		Tu m’apprends, Seigneur, le chemin de la vie.						
"Psaume 016-1 ""Au réveil"" Bureau"	16		Au réveil, je me rassasierai de ton visage, Seigneur.						
"Psaume 017-2 ""Je t'aime Seigneur, ma force"" Bureau"	17		Je t’aime, Seigneur, ma force						
"Psaume 017-2 ""Je t’aime Seigneur, ma force"" Delattre"	17		Je t’aime, Seigneur, ma force						
"Psaume 017-2 ""Je t’aime Seigneur, ma force"" Wackenheim"	17		Je t’aime, Seigneur, ma force						
"Psaume 018-1 ""Seigneur, Tu as les paroles de la vie éternelle"" Gouzes"	18		Seigneur, Tu as les paroles de la vie éternelle						
"Psaume 018-2 ""Les préceptes du Seigneur sont droits"" Magnificat"	18		Les préceptes du Seigneur sont droits, ils réjouissent le cœur !						
"Psaume 018-2 ""Les préceptes du Seigneur"" Bureau"	18		Les préceptes du Seigneur sont droits, ils réjouissent le cœur !						
"Psaume 018-7 ""Tes paroles, Seigneur, sont esprit et elles sont vie."" Magnificat"	18		Tes paroles, Seigneur, sont esprit et elles sont vie.						
"Psaume 021-0 ""Mon Dieu mon Dieu"" Magnificat"	21		Mon Dieu, mon Dieu, pourquoi m’as-tu abandonné ?						
"Psaume 021-0 ""Mon Dieu mon Dieu"" Wackenheim"	21		Mon Dieu, mon Dieu, pourquoi m’as-tu abandonné ?						
"Psaume 021-7 ""Tu seras ma louange"" Magnificat"	21		Tu seras ma louange, Seigneur, dans la grande assemblée						
Psaume 022-1 Le Seigneur est mon berger CPPMF	22		Le Seigneur est mon berger : rien ne saurait me manquer.						
Psaume 022-1 Le Seigneur est mon berger Hervy	22		Le Seigneur est mon berger : rien ne saurait me manquer.						
Psaume 022-1 Le Seigneur est mon berger Wackenheim	22		Le Seigneur est mon berger : rien ne saurait me manquer.						
"Psaume 022-2 ""J’habiterai la maison du Seigneur pour la durée de mes jours"" Lécot"	22		J’habiterai la maison du Seigneur pour la durée de mes jours						
"Psaume 022-2 ""J’habiterai la maison du Seigneur pour la durée de mes jours"" Wackenheim"	22		J’habiterai la maison du Seigneur pour la durée de mes jours						
"Psaume 023-1 ""Qu’il vienne"" Dorge"	23		Qu’il vienne, le Seigneur: c’est lui, le roi de gloire !						
"Psaume 023-5 ""Voici le peuple"" Bureau"	23		Voici le peuple de ceux qui cherchent ta face, Seigneur.						
"Psaume 023-5 ""Voici le peuple"" Hervy"	23		Voici le peuple de ceux qui cherchent ta face, Seigneur.						
"Psaume 023-7 ""C’est le Seigneur Dieu de l’univers"" Magnificat"	23		C’est le Seigneur, Dieu de l’univers; c’est lui, le roi de gloire.						
"Psaume 024-1 ""Rappelle-toi, Seigneur, ta tendresse"" Bureau"	24		Rappelle-toi, Seigneur, ta tendresse.						
"Psaume 024-1 ""Rappelle-toi, Seigneur, ta tendresse"" Previdi"	24		Rappelle-toi, Seigneur, ta tendresse.						
"Psaume 024-3 ""Vers Toi, Seigneur, j’élève mon âme"" Wackenheim"	24		Vers-toi, Seigneur, j’élève mon âme, vers toi, mon Dieu.	Seigneur, enseigne-moi tes voies, fais-moi connaître ta route. Dirige-moi par ta vérité, enseigne-moi, car tu es le Dieu qui me sauve.  Il est droit, il est bon, le Seigneur, lui qui montre aux pécheurs le chemin. Sa justice dirige les humbles, il enseigne aux humbles son chemin.  Les voies du Seigneur sont amour et vérité pour qui veille à son alliance et à ses lois. Le secret du Seigneur est pour ceux qui le craignent ; à ceux-là, il fait connaître son alliance.					
"Psaume 024-4 ""Tes chemins Seigneur"" Magnificat"	24		Tes chemins, Seigneur, sont amour et vérité pour qui garde ton alliance.						
"Psaume 024-4 ""Tes chemins Seigneur"" Previdi"	24		Tes chemins, Seigneur, sont amour et vérité pour qui garde ton alliance.						
"Psaume 024-5 ""Seigneur enseigne-moi tes chemins"" Delattre"	24		Seigneur, enseigne-moi tes chemins.						
"Psaume 024-5 ""Seigneur enseigne-moi tes chemins"" Wackenheim"	24		Seigneur, enseigne-moi tes chemins.						
"Psaume 025 ""J’ai devant les yeux ton amour"" Lécot"	25		J’ai devant les yeux ton amour, Seigneur.						
"Psaume 026-0 ""Le Seigneur est ma lumiere et mon salut"" Bureau"	26		Le Seigneur est ma lumière et mon salut.						
"Psaume 026-0 ""Le Seigneur est ma lumiere et mon salut"" Magnificat"	26		Le Seigneur est ma lumière et mon salut.						
"Psaume 026-3 ""J’en suis sûr"" Fraternité de Tibériade"	26		J’en suis sûr, je verrai les bontés du Seigneur sur la terre des vivants.						
"Psaume 028-1 ""Le Seigneur bénit son peuple"" Bureau"	28		Le Seigneur bénit son peuple en lui donnant la paix.						
"Psaume 029-1 ""Je t’exalte, Seigneur, tu m’as relevé"" Magnificat"	29		Je t’exalte, Seigneur, tu m’as relevé.						
"Psaume 029-1 ""Je t’exalte, Seigneur, tu m’as relevé"" PREVIDI"	29		Je t’exalte, Seigneur, tu m’as relevé.						
"Psaume 030-1 ""O Père"" Wittal"	30		Ô Père, dans tes mains je remets mon esprit.						
"Psaume 031-0 ""Enlève Seigneur"" Wackenheim"	31		Enlève, Seigneur, l’offense de ma faute						
"Psaume 031-3 ""Tu es un refuge pour moi"" Magnificat"	31		Tu es un refuge pour moi ; de chants de délivrance, tu m’as entouré.						
"Psaume 031-3 ""Tu es un refuge pour moi"" Wackenheim"	31		Tu es un refuge pour moi ; de chants de délivrance, tu m’as entouré.						
"Psaume 032-0 ""Que ton amour, Seigneur""  "	32		Que ton amour, Seigneur, soit sur nous, comme notre espoir est en toi!						
"Psaume 032-2 ""Heureux le Peuple"" Bureau"	32		Heureux le peuple dont le Seigneur est le Dieu.						
"Psaume 032-4 ""Que ton amour, Seigneur"" Magnificat"	32		Que ton amour, Seigneur, soit sur nous, comme notre espoir est en toi !						
"Psaume 033-1 ""Goutez et voyez comme est bon le Seigneur"" Gouzes"	33		Goutez et voyez comme est bon le Seigneur!						
"Psaume 033-1 ""Goutez et voyez comme est bon le Seigneur"" Wackenheim"	33		Goutez et voyez comme est bon le Seigneur!						
"Psaume 033-2 ""Goutez et voyez comme est bon le Seigneur"" S. Akebo"	33		Goutez et voyez comme est bon le Seigneur!						
"Psaume 033-3 ""De toutes leurs épreuves"" Gouzes"	33		De toutes leurs épreuves, Dieu délivre ses amis.						
"Psaume 033-7 ""Un pauvre crie""  Wackenheim"	33		Un pauvre crie ; le Seigneur entend						
"Psaume 033-8 ""De toutes mes frayeurs"" Wackenheim"	33		De toutes mes frayeurs, le Seigneur me délivre						
"Psaume 039-0 ""Me voici Seigneur"" Lécot"	39		Me voici, Seigneur, je viens faire ta volonté.						
"Psaume 039-0 ""Me voici Seigneur"" Previdi"	39		Me voici, Seigneur, je viens faire ta volonté.						
"Psaume 039-0 ""Me voici Seigneur"" Wackenheim"	39		Me voici, Seigneur, je viens faire ta volonté.						
"Psaume 039-1 ""Seigneur, viens vite à mon secours"" Magnificat"	39		Seigneur, viens vite à mon secours !						
"Psaume 040 ""Guéris mon âme Seigneur"""	40		Guéris mon âme, Seigneur, car j'ai pêché contre toi						
"Psaume 041 ""Mon âme a soif de Toi"" Emmanuel"	41		Mon âme a soif de Toi, Dieu vivant, Dieu très haut. Prends-moi, pacifie-moi, Seigneur mon Roi. Tu es toute ma joie, ô viens en moi!						
"Psaume 044-1 ""Debout,à la droite du Seigneur"" Gouzes"	44		Debout, à la droite du Seigneur, (bis)  se tient la reine, toute parée d’or.						
"Psaume 044-1 ""Debout,à la droite du Seigneur"" Magnificat"	44		Debout, à la droite du Seigneur, se tient la reine, toute parée d’or.						
"Psaume 045 ""Voici la demeure de Dieu"" Magnificat"	45		Voici la demeure de Dieu parmi les hommes						
"Psaume 046 ""Dieu s’élève parmi les ovations"" Wackenheim"	46		Dieu s’élève parmi les ovations, le Seigneur, aux éclats du cor.						
"Psaume 050-1 ""Pitié Seigneur"" Gelineau"	50		Pitié, Seigneur, car nous avons péché.						
"Psaume 050-1 ""Pitié Seigneur"" Hervy"	50		Pitié, Seigneur, car nous avons péché.						
"Psaume 050-3 ""Oui, je me lèverai"" Wackenheim & Bureau"	50		Oui, je me lèverai, et j’irai vers mon Père.						
"Psaume 050-4 ""Crée en moi un cœur pur"" Gouzes"	50		Crée en moi un cœur pur, ô mon Dieu.						
"Psaume 050-4 ""Crée en moi un cœur pur"" Veillée Wackenheim"	50		Crée en moi un cœur pur, ô mon Dieu.						
"Psaume 053-1 ""Le Seigneur est mon appui"" Wackenheim"	53		Le Seigneur est mon appui entre tous.						
"Psaume 061-1 ""En Dieu seul"" Wackenheim"	61		En Dieu seul, le repos de mon âme						
"Psaume 062-3 ""Mon ame a soif de Toi"" Magnificat"	62		Mon âme a soif de toi, Seigneur, mon Dieu !						
"Psaume 062-3 ""Mon ame a soif de Toi"" Previdi"	62		Mon âme a soif de toi, Seigneur, mon Dieu !						
"Psaume 062-3 ""Mon ame a soif de Toi"" Venthey"	62		Mon âme a soif de toi, Seigneur, mon Dieu !						
"Psaume 062-3 ""Mon ame a soif de Toi"" Wackenheim"	62		Mon âme a soif de toi, Seigneur, mon Dieu !						
"Psaume 064-1 ""Tu visites la terre"" Magnificat"	64		Tu visites la terre et tu l’abreuves, Seigneur, tu bénis les semailles.						
"Psaume 065-1 ""Terre entière,acclame Dieu, chante le Seigneur"" Deiss"	65		Terre entière, acclame Dieu, chante le Seigneur!						
Psaume 066 - Que les peuples, Dieu, te rendent grâce	66		Que les peuples, Dieu, te rendent grâce ; qu’ils te rendent grâce tous ensemble !						
Psaume 066 - Que les peuples, Dieu, te rendent grâce (2)	66		R/ Que les peuples, Dieu, te rendent grâce ; qu’ils te rendent grâce tous ensemble !						
"Psaume 066-1 ""Que Dieu nous prenne en grâce"" Magnificat"	66		Que Dieu nous prenne en grâce et qu’il nous bénisse.						
"Psaume 066-2 ""Que les peuples"" Magnificat"	66		Que les peuples, Dieu, te rendent grâce ; qu’ils te rendent grâce tous ensemble !						
"Psaume 067 ""Béni soit le Seigneur"" Magnificat"	67		Béni soit le Seigneur: il élève les humbles.						
"Psaume 068-0 ""Dans ton grand amour"" Bureau"	68		Dans ton grand amour, Dieu, réponds-moi.						
"Psaume 068-1 ""Cherchez Dieu"" Magnificat"	68		Cherchez Dieu, vous les humbles et votre cœur vivra.						
"Psaume 070-0 ""Sans fin, je proclamerai"" Magnificat"	70		Sans fin, je proclamerai ta justice et ton salut.						
"Psaume 071-2 ""Toutes les nations, Seigneur"" Hervy"	71		Toutes les nations, Seigneur, se prosterneront devant Toi						
"Psaume 071-2 ""Toutes les nations, Seigneur"" Magnificat"	71		Toutes les nations, Seigneur, se prosterneront devant Toi						
"Psaume 071-3 ""En ces jours là"" Magnificat"	71		En ces jours-là, fleurira la justice, grande paix jusqu’à la fin des temps.						
Psaume 077 Le Seigneur Donne Le Pain Du Ciel - Hervy	77		Le Seigneur donne le pain du ciel						
"Psaume 077-0 ""Le Seigneur donne le pain du ciel"" Magnificat"	77		Le Seigneur donne le pain du ciel !						
"Psaume 077-X ""N’oubliez pas les exploits du Seigneur!"" Hervy"	77		N’oubliez pas les exploits du Seigneur !						
"Psaume 079-1 ""La vigne du Seigneur de l’univers"" Bureau"	79		La vigne du Seigneur de l’univers, c’est la maison d’Israël.						
"Psaume 079-1 ""La vigne du Seigneur de l’univers"" Ospital"	79		La vigne du Seigneur de l’univers, c’est la maison d’Israël.						
"Psaume 079-2 ""Dieu fais nous revenir"" Delattre"	79		Dieu, fais-nous revenir; que ton visage s’éclaire, et nous serons sauvés !						
"Psaume 079-2 ""Dieu fais nous revenir"" Wackenheim"	79		Dieu, fais-nous revenir; que ton visage s’éclaire, et nous serons sauvés !						
Psaume 080 Criez de joie	80		Criez de joie pour Dieu, notre force.						
"Psaume 081 ""Lève-toi"" Bureau"	81		Lève-toi,Dieu juge la terre.						
"Psaume 083 ""Heureux les habitants de ta maison"" Magnificat"	83		Heureux les habitants de ta maison, Seigneur !						
"Psaume 084-0 ""Fais-nous voir Seigneur ton amour"" Magnificat"	84		Fais-nous voir, Seigneur, ton amour, et donne-nous ton salut.						
"Psaume 084-0 ""Fais-nous voir, Seigneur, ton amour"" Previdi"	84		Fais-nous voir, Seigneur, ton amour, et donne-nous ton salut.						
Psaume 085 Toi qui est bon Magnificat	85		Toi qui est bon et qui pardonnes, écoute ma prière, Seigneur.						
"Psaume 086-0 ""Pour ta gloire on parle de toi"" Lécot"	86		Pour ta gloire on parle de toi, ville de Dieu ! 						
"Psaume 088-2 ""Ton amour, Seigneur"" Magnificat "	88		Ton amour,Seigneur, sans fin je le chante !						
"Psaume 088-3 ""Ton amour Seigneur"" Gouzes"	88		Ton amour,Seigneur, sans fin je le chante !						
"Psaume 088-3 ""Ton amour Seigneur"" Hervy"	88		Ton amour,Seigneur, sans fin je le chante !						
"Psaume 088-3 ""Ton amour Seigneur"" Wackenheim"	88		Ton amour,Seigneur, sans fin je le chante !						
"Psaume 089-0 ""D’âge en âge,Seigneur"" Wackenheim"	89		D’âge en âge, Seigneur, tu as été notre refuge.						
"Psaume 089-1 ""Rassasie-nous"" Magnificat"	89		Rassasie-nous de ton amour, Seigneur: nous serons dans la joie.						
"Psaume 090 ""Sois avec moi"" Magnificat"	90		Sois avec moi, Seigneur, dans mon épreuve.						
"Psaume 091-1 ""Il est bon Seigneur de chanter pou Toi"" Magnificat"	91		Il est bon Seigneur, de chanter pour Toi						
"Psaume 091-4 ""Il est bon Seigneur de te rendre grâce"" Bureau"	91		Il est bon Seigneur, de te rendre grâce						
"Psaume 091-5 ""Il est bon Seigneur de te rendre grâce"" Grazia Previdi"	91		Il est bon Seigneur, de te rendre grâce						
"Psaume 092-1 ""Le Seigneur est roi"" Magnificat"	92		Le Seigneur est roi; il s’est vêtu de magnificence.						
"Psaume 094-2 ""Venez crions de joie"" Cte des Béatitudes"	94		Venez, crions de joie pour le Seigneur, acclamons le rocher qui nous sauve, allons devant sa face avec actions de grâces.						
"Psaume 094-4 ""Aujourd’hui, ne fermez pas votre coeur"" Bureau"	94		Aujourd’hui, ne fermez pas votre cœur, mais écoutez la voix du Seigneur.						
"Psaume 094-4 ""Aujourd’hui, ne fermez pas votre coeur"" Delattre"	94		Aujourd’hui, ne fermez pas votre cœur, mais écoutez la voix du Seigneur.						
"Psaume 094-4 ""Aujourd’hui, ne fermez pas votre coeur"" Lécot"	94		Aujourd’hui, ne fermez pas votre cœur, mais écoutez la voix du Seigneur.						
"Psaume 094-4 ""Aujourd’hui, ne fermez pas votre coeur"" Magnificat"	94		Aujourd’hui, ne fermez pas votre cœur, mais écoutez la voix du Seigneur.						
"Psaume 095-1 ""Aujourd'hui un sauveur nous est né"" Dorge"	95		Aujourd’hui, un Sauveur nous est né: c’est le Christ, le Seigneur.						
"Psaume 095-1 ""Aujourd’hui un sauveur nous est né"" Lécot"	95		Aujourd’hui, un Sauveur nous est né: c’est le Christ, le Seigneur.						
"Psaume 095-1 ""Aujourd’hui un sauveur nous est né"" Ospital"	95		Aujourd’hui, un Sauveur nous est né: c’est le Christ, le Seigneur.						
"Psaume 095-2 ""Rendez au Seigneur la gloire"" Gouzes"	95		Rendez au Seigneur la gloire et la puissance.						
"Psaume 095-2 ""Rendez au Seigneur la gloire"" Ospital"	95		Rendez au Seigneur la gloire et la puissance.						
"Psaume 095-3 ""Racontez à tous les peuples"" Magnificat"	95		Racontez à tous les peuples les merveilles du seigneur!						
"Psaume 096-0 ""Le Seigneur est Roi"" Magnificat"	96		Le Seigneur est roi, le Très-Haut sur toute la terre						
"Psaume 096-1 ""Le Seigneur est Roi"" Magnificat"	96		Le Seigneur est roi, le Très-Haut sur toute la terre						
"Psaume 097-2 ""La terre tout entière a vu"" Bureau"	97		La terre tout entière a vu le salut que Dieu nous donne.						
"Psaume 097-2 ""La terre tout entière a vu"" Delattre"	97		La terre tout entière a vu le salut que Dieu nous donne.						
"Psaume 097-2 ""La terre tout entière a vu"" Wackenheim"	97		La terre tout entière a vu le salut que Dieu nous donne.						
"Psaume 097-5 ""Le Seigneur a fait connaître"" Gouzes"	97		Le Seigneur a fait connaître sa victoire et révélé sa justice aux nations.						
"Psaume 097-6 ""Il vient le Seigneur"" Wackenheim "	97		Il vient, le Seigneur, gouverner les peuples avec droiture.						
"Psaume 097-7 ""Chantez au Seigneur"" Bureau"	97		Chantez au Seigneur un chant nouveau, car il a fait des merveilles.						
"Psaume 099-0 ""Nous sommes son peuple"" Robert"	99		Nous sommes son peuple, son troupeau						
"Psaume 099-2 ""Il nous a faits, et nous sommes à lui"" CPPMF"	99		Il nous a faits, et nous sommes à lui, nous, son peuple, son troupeau.						
"Psaume 101 ""N’oublie pas Seigneur"" Bureau"	101		N’oublie pas Seigneur, le cri des malheureux.						
"Psaume 102-1 ""Alléluia"" ou ""le Seigneur a son trône dans les cieux"" inconnu"	102		Alléluia						
"Psaume 102-1 ""le Seigneur a son trône dans les cieux"" Wackenheim"	102		Le Seigneur a son trône dans les cieux						
"Psaume 102-3 ""Le Seigneur est tendresse"" Wackenheim"	102		Le Seigneur est tendresse et pitié						
"Psaume 102-4 ""Le Seigneur est tendresse"" Vallée"	102		Le Seigneur est tendresse et pitié						
"Psaume 102-5 ""Le Seigneur est tendresse"" Magnificat"	102		Le Seigneur est tendresse et pitié						
"Psaume 102-X ""Le Seigneur est tendresse"" Groslambert"	102		Le Seigneur est tendresse et pitié						
"Psaume 103-0 ""O Seigneur envoie ton Esprit"" Pentecôte Deiss et verset Urteaga"	103		Ô Seigneur envoie ton Esprit qui renouvelle la face de la terre !						
"Psaume 103-0 ""O Seigneur envoie ton Esprit"" Pentecôte Deiss et verset Wackenheim"	103		Ô Seigneur envoie ton Esprit qui renouvelle la face de la terre !						
"Psaume 103-1 ""O Seigneur envoie ton Esprit"" Veillée Pascale Deiss et veret Urteaga"	103		Ô Seigneur envoie ton Esprit qui renouvelle la face de la terre !						
"Psaume 103-6 ""Bénis le Seigneur"""	103		Bénis le Seigneur, ô mon âme ; Seigneur mon Dieu, tu es si grand ! 						
"Psaume 103-6 ""Bénis le Seigneur"" Bureau"	103		Bénis le Seigneur, ô mon âme ; Seigneur mon Dieu, tu es si grand !						
"Psaume 104-1 ""Le Seigneur, c’est lui notre Dieu"" Groslambert"	104		Le Seigneur, c’est lui notre Dieu						
"Psaume 104-1 ""Le Seigneur, c’est lui notre Dieu"" Magnificat"	104		Le Seigneur, c’est lui notre Dieu						
"Psaume 104-1 ""Le Seigneur, c'est lui notre Dieu"" Previdi"	104		Le Seigneur, c’est lui notre Dieu						
"Psaume 106 ""Rendez grâce au Seigneur"" Gouze"	106		R/ Rendez grâce au Seigneur : Il est bon ! Éternel est son amour !						
"Psaume 106 ""Rendez grâce au Seigneur"" Scarcella"	106		Rendez grâce au Seigneur : Il est bon ! Éternel est son amour !						
"Psaume 107 ""Le Seigneur a réduit la tempête au silence"" frère Gérard-Marie ocd"	107		Le Seigneur a réduit la tempête au silence et les vagues se sont tues le Seigneur est vainqueur de la mer et des flots						
"Psaume 109-0 ""Tu es prêtre à jamais"" Wackenheim"	109		Tu es prêtre à jamais, selon l’ordre de Melkisédek.						
"Psaume 111-1 ""Lumière des coeurs"" Bureau"	111		Lumière des cœurs droits, le juste s’est levé dans les ténèbres.						
"Psaume 112 ""Louez le nom du Seigneur"" Magnificat"	112		Louez le nom du Seigneur : de la poussière il relève le faible.						
"Psaume 114 ""Je marcherai en présence du Seigneur"" Bureau"	114		Je marcherai en présence du Seigneur sur la terre des vivants.						
"Psaume 114 ""Je marcherai en présence du Seigneur"" Wackenheim"	114		Je marcherai en présence du Seigneur sur la terre des vivants.						
"Psaume 115-1 ""La coupe de bénédiction"" inconnu"	115		La coupe de bénédiction est communion au sang du Christ.						
"Psaume 115-3 ""Je marcherai"" Bureau"	115		Je marcherai en présence du Seigneur sur la terre des vivants.						
"Psaume 115-3 ""Je marcherai"" Delattre"	115		Je marcherai en présence du Seigneur sur la terre des vivants.						
"Psaume 115-3 ""Je marcherai"" Wakenheim"	115		Je marcherai en présence du Seigneur sur la terre des vivants.						
"Psaume 115-6 ""J’élèverai la coupe du salut"" Magnificat"	115		J’élèverai la coupe du salut, j’invoquerai le nom du Seigneur.						
"Psaume 115-6 ""J’élèverai la coupe du salut"" Ospital"	115		J’élèverai la coupe du salut, j’invoquerai le nom du Seigneur.						
"Psaume 116-0 ""Allez dans le monde entier"" Gouzes"	116		Allez dans le monde entier proclamer l’Evangile.						
"Psaume 117-0 ""Alléluia grégorien (chorale 3V) Veillée pascale"" Bureau"	117		Alléluia! Alléluia! Alléluia!						
"Psaume 117-1 ""Voici le jour"" Magnificat"	117		Voici le jour que fit le Seigneur, qu’il soit pour nous jour de fête et de joie.						
"Psaume 117-2 ""Rendez grâce au Seigneur"" Bureau"	117		Rendez grâce au Seigneur : Il est bon ! Éternel est son amour !						
"Psaume 117-5 ""La pierre rejetée"" Bureau"	117		La pierre qu’ont rejetée les bâtisseurs est devenue la pierre d’angle.						
"Psaume 118-0 ""Tu aimeras le Seigneur ton Dieu"" Wackenheim"	118		Tu aimeras le Seigneur ton Dieu de tout ton cœur et tu auras la vie.						
"Psaume 118-2 ""De quel amour j’aime ta loi Seigneur"" Wackenheim"	118		De quel amour, j’aime ta loi, Seigneur !						
"Psaume 118-3 ""Heureux ceux qui marchent"" Wackenheim"	118		Heureux ceux qui marchent suivant la loi du Seigneur !						
"Psaume 120-1 ""Le secours me viendra"" Gouzes "	120		Le secours me viendra du Seigneur qui a fait le ciel et la terre.						
"Psaume 121-4 ""Dans la joie (3 couplets)"" Magnificat"	121		Dans la joie, nous irons à la maison du Seigneur.						
"Psaume 121-5 ""Dans la joie (5 couplets)"" Wackenheim"	121		Dans la joie, nous irons à la maison du Seigneur.						
Psaume 122 - Nos yeux levés vers le Seigneur - LÉCOT et GÉLINEAU	122		Nos yeux, levés vers le Seigneur, attendent sa pitié.						
"Psaume 122-0 ""Nos yeux levés vers le Seigneur."" Bureau"	122		Nos yeux levés vers le Seigneur, attendent sa pitié.						
"Psaume 125-1 ""Quelles merveilles"" Wackenheim"	125		Quelles merveilles le Seigneur fit pour nous : Nous étions en grande fête! 						
"Psaume 127-2 ""Que le Seigneur nous bénisse"" Wackenheim"	127		Que le Seigneur nous bénisse, tous les jours de notre vie !						
"Psaume 127-3 ""Heureux les habitants"" Gouzes"	127		Heureux les habitants de ta maison, Seigneur!						
"Psaume 127-4 ""Heureux qui craint le Seigneur"" Gouze"	127		Heureux qui craint le Seigneur !						
